idea_id,title,origin,status,gate_reached,evidence,notes
I-01,Seasonal (monthly) grid factors for CY SMEs,User review (S1.5),killed,S1,S1-GRID-01: max 2.97% error at monthly resolution,Killed 2026-09-24. Hourly resolution untested; would be a new idea if TSO hourly data shows a larger gap
I-02,Confidence-scored footprint + evidence value ranking,Earlier reasoning (untested),killed,S2,Ciroth et al. 2016 doi:10.1007/s11367-013-0670-5; Weidema & Wesnaes 1996; Kaddoura et al. 2025 (GSA data prioritisation); Ravikumar 2018; PCAF DQS 1-5; Numo confidence scores,Killed 2026-09-24: pedigree tiers + Monte Carlo + sensitivity-based evidence ranking is established. Residual moved to I-07
I-03,Hidden behind-the-meter PV self-consumption from net bills,S1 mining (B3 energyTotal / energyRenewable),killed,S2,Scheid et al. IEEE Access 2025 doi:10.1109/ACCESS.2025.3620234 (monthly import/export disaggregation); SunDance 2017; Stainsby 2020,Kill rule met: core mechanism published. CY commercial PV share not published by CERA (data request open)
I-03b,Per-firm calibrated interval for annual PV self-consumption and Scope 2 market-based from 6 bi-monthly import/export pairs,S2 residual of I-03,killed,S2,EAC net-billing connection procedure 2022 s7.0 + Technical Guide 2023.2: DSO generation meter M1 + import/export M2/M3,Killed 2026-09-24: gross generation is utility-metered. Guide 2023.2 has one conflicting one-meter sentence; confirm on real sites. Net metering <=10kW not checked
I-04,Spend-based fuel heuristics and fuel-vs-shop classification from card/receipt data,S1 mining (B3 scope1),killed,S2,S1-FUEL-01; US10902484B1; US12141818B2; Doconomy Aland Index; CarboEnd; Numo; CarbonAPI; Carbonly.ai; Trendl et al. 2022,Killed 2026-09-24: price conversion solved; OCR line-item fuel extraction is commercial; transaction attribution patented
I-05,Water withdrawal for unmetered boreholes / shared buildings,S1 mining (B6),killed,S2,Efficiency Lift Method: Hurr & Litke 1989 USGS; Martindill 2021 ~5% well error,Cyprus use is engineering
I-06,Waste mass with no weight evidence,S1 mining (B7),killed,S2,US EPA volume-to-weight factors 2016; Danish EPA kg/employee; Chalmers 2020,Cyprus PAYT is volume-based; calibration is engineering
P-CBAM,CBAM supplier-only data for CY importers,S1 completion (S1-CBAM-01),problem-only,S1,78/111 evidence fields supplier-only (2023/1773 Annex I); 78/111 count OUTDATED (2023/1773 transitional),"Definitive rules: 2025/2083, 2025/2547, 2025/2621, 2025/2546; defaults allowed with mark-up (10%->30% unverified)"
I-07,Mixture over discrete document interpretations for micro-SME disclosure uncertainty + entropy-based next-document choice,S2 residual of I-02,alive-conditional,S4 (synthetic),"S2-PA-05: no source combines both parts; Procedia CIRP 2025 continuous only (full read); Owl/ATLAS/PCFBench measure ambiguity only (abstracts); IBM US12482004, SAP US8965820, BASF US20220107618 do not anticipate","S4-E01-07: H1 PASS, H2 FAIL, H3 PASS on synthetic data; generator not validated; next-question half unsupported; needs real pilot docs"
I-08,Tenant common-area/HVAC allocation from koinochrista cash flows,Research director directive,killed,S1,GHG Protocol help desk floor-area allocation; Cap.224 ownership-share split; units usually own-metered; GR central-heating allocation regulation,"Killed 2026-09-24: small figure, compliant standard method exists. Re-open only with data on landlord-metered chillers"
