A,B,C,fit,strange,score,text
A11,B11,C07,7,3,21,"Digital Product Passport requirement (ESPR, batteries first 2027) || Used goods and repairs lack trusted history, so resale value collapses || Carfax-style history report built from many third-party events"
A11,B11,C11,7,3,21,"Digital Product Passport requirement (ESPR, batteries first 2027) || Used goods and repairs lack trusted history, so resale value collapses || Container shipping standard (TEU): one box fits every ship, truck, crane"
A01,B05,C01,6,3,18,Agents that can pay per request (x402 / stablecoin micropayments) || Tourism seasonality: Cyprus hotels/staff idle half the year || Airline yield management: price changes by demand minute to minute
A01,B12,C01,6,3,18,"Agents that can pay per request (x402 / stablecoin micropayments) || Staff shortages in hospitality/care; workers paid late, shifts unfilled || Airline yield management: price changes by demand minute to minute"
A03,B10,C02,6,3,18,"EU Data Act: users can demand the data their connected devices generate (from 12 Sep 2025) || SMEs can't get credit: thin files, no collateral (SAFE survey) || Chess/Elo rating: ranking from pairwise outcomes, no absolute measure needed"
A04,B05,C01,6,3,18,Instant SEPA payments mandatory for all euro banks (2025) || Tourism seasonality: Cyprus hotels/staff idle half the year || Airline yield management: price changes by demand minute to minute
A08,B09,C05,6,3,18,"Cheap on-device vision models reading paper, meters, shelves in real time || Island grid curtailment: Cyprus wastes solar output at midday (no interconnector) || Air-traffic control: live deconfliction of many actors in shared space"
A08,B09,C08,6,3,18,"Cheap on-device vision models reading paper, meters, shelves in real time || Island grid curtailment: Cyprus wastes solar output at midday (no interconnector) || Ant colony / stigmergy: coordination through traces left in the environment"
A01,B05,C12,5,3,15,Agents that can pay per request (x402 / stablecoin micropayments) || Tourism seasonality: Cyprus hotels/staff idle half the year || Speedrun/leaderboard gaming: public live competition drives behaviour
A07,B01,C02,5,3,15,"Open finance data access (FiDA proposal) beyond payment accounts || SMEs answer many differently-worded sustainability requests from banks/customers || Chess/Elo rating: ranking from pairwise outcomes, no absolute measure needed"
A07,B01,C11,5,3,15,"Open finance data access (FiDA proposal) beyond payment accounts || SMEs answer many differently-worded sustainability requests from banks/customers || Container shipping standard (TEU): one box fits every ship, truck, crane"
A11,B11,C02,5,3,15,"Digital Product Passport requirement (ESPR, batteries first 2027) || Used goods and repairs lack trusted history, so resale value collapses || Chess/Elo rating: ranking from pairwise outcomes, no absolute measure needed"
A13,B02,C13,7,2,14,Tokenised deposits / programmable money pilots (ECB DLT settlement trials) || Energy cost is a major barrier for ~50% of EU firms; SMEs under-invest in efficiency || Tontine / rotating savings club (ROSCA): members fund each other in turn
A01,B09,C05,4,3,12,Agents that can pay per request (x402 / stablecoin micropayments) || Island grid curtailment: Cyprus wastes solar output at midday (no interconnector) || Air-traffic control: live deconfliction of many actors in shared space
A02,B01,C11,4,3,12,"Autonomous computer-use agents that operate any web portal || SMEs answer many differently-worded sustainability requests from banks/customers || Container shipping standard (TEU): one box fits every ship, truck, crane"
A02,B06,C09,4,3,12,Autonomous computer-use agents that operate any web portal || Red tape: EU SMEs cite administrative burden as top obstacle (Eurobarometer 2023) || Clinical triage: route cases by urgency with a short standard question set
A02,B13,C09,4,3,12,Autonomous computer-use agents that operate any web portal || Grant and subsidy money goes unclaimed; SMEs don't know or can't apply || Clinical triage: route cases by urgency with a short standard question set
A03,B10,C06,4,3,12,"EU Data Act: users can demand the data their connected devices generate (from 12 Sep 2025) || SMEs can't get credit: thin files, no collateral (SAFE survey) || Spotify royalties: tiny usage events settled into automatic payouts"
A03,B10,C07,4,3,12,"EU Data Act: users can demand the data their connected devices generate (from 12 Sep 2025) || SMEs can't get credit: thin files, no collateral (SAFE survey) || Carfax-style history report built from many third-party events"
A04,B02,C06,4,3,12,Instant SEPA payments mandatory for all euro banks (2025) || Energy cost is a major barrier for ~50% of EU firms; SMEs under-invest in efficiency || Spotify royalties: tiny usage events settled into automatic payouts
