date,task,stage,person,hours,cost_eur,frascati_type,notes
2026-09-24,Research pipeline design and review,S0,founder + AI,2,0,experimental development,Plan approved
2026-09-24,S1 grid factor analysis + datapoint derivability,S1,AI,1.5,0,experimental development,Runs S1-GRID-01/02 S1-RANK-01
2026-09-24,S1 fuel EUR-to-litres simulation + provenance manifest,S1,AI,1,0,experimental development,Run S1-FUEL-01
2026-09-24,S1 close-out (PV penetration; CBAM fields) + S2 prior art I-03/I-04,S1-S2,AI,1.5,0,experimental development,Runs S1-PV-01 S1-CBAM-01 S2-PA-01
2026-09-24,S2 prior art I-02 + EAC metering check + CBAM sizing,S1-S2,AI,1.5,0,experimental development,Runs S2-PA-02 S2-PA-03 S1-CBAM-02 S1-CBAM-03
2026-09-24,S2 screen I-07 + S1 mining I-08/I-09,S1-S2,AI,1.5,0,experimental development,Runs S2-PA-04 S1-MINE-08 S1-MINE-09
2026-09-24,"S2 full I-07, S2 I-05/I-06, CBAM re-map, VSME list, I-07 prereg",S1-S3,AI,2,0,experimental development,S2-PA-05..07 S1-CBAM-02 S3-PREREG-07
2026-09-24,"S4 E01 I-07: generator, baselines, mixture model, H1-H3, stress test",S4,AI,2.5,0,experimental development,S4-E01-07
2026-09-24,S2 on I-10/I-11/I-12; S1 gap mining; I-13 opened,S1-S2,AI,2,0,experimental development,S2-PA-08..10 S1-MINE-10
2026-09-24,S2 prior art I-13,S2,AI,1,0,experimental development,S2-PA-11
2026-09-24,I-13 prereg lock; EXIOBASE CY priors; E02 experiment; SBC attempt,S0-S4,AI,3,0,experimental development,S3-PREREG-13 S1-PRIOR-13 S4-E02-13 S4-E02-SBC
2026-09-24,Unified spec + CYSTAT check + frontier mining round 1,S1/S5,AI agent,3,0,basic research (desk),see registry S1-CYSTAT-13 S5-UNIFY-01 S1-FRONTIER-01
2026-09-24,S2 prior art I-14 + frontier mining round 2,S1-S2,AI,2.5,0,basic research (desk),S2-PA-12 S1-FRONTIER-02
2026-09-24,I-14 prereg lock + E03 power simulation + kill,S3-S4,AI,1.5,0,experimental development,S3-PREREG-14 S4-E03-14
