A,B,C,fit,strange,score,text
A01,B01,C01,2,3,6,Agents that can pay per request (x402 / stablecoin micropayments) || SMEs answer many differently-worded sustainability requests from banks/customers || Airline yield management: price changes by demand minute to minute
A01,B01,C02,1,3,3,"Agents that can pay per request (x402 / stablecoin micropayments) || SMEs answer many differently-worded sustainability requests from banks/customers || Chess/Elo rating: ranking from pairwise outcomes, no absolute measure needed"
A01,B01,C03,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || SMEs answer many differently-worded sustainability requests from banks/customers || Blood-bank / organ matching: time-critical allocation of scarce perishable supply
A01,B01,C04,1,2,2,Agents that can pay per request (x402 / stablecoin micropayments) || SMEs answer many differently-worded sustainability requests from banks/customers || Reinsurance: pooling many small risks and selling slices to big capital
A01,B01,C05,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || SMEs answer many differently-worded sustainability requests from banks/customers || Air-traffic control: live deconfliction of many actors in shared space
A01,B01,C06,2,3,6,Agents that can pay per request (x402 / stablecoin micropayments) || SMEs answer many differently-worded sustainability requests from banks/customers || Spotify royalties: tiny usage events settled into automatic payouts
A01,B01,C07,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || SMEs answer many differently-worded sustainability requests from banks/customers || Carfax-style history report built from many third-party events
A01,B01,C08,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || SMEs answer many differently-worded sustainability requests from banks/customers || Ant colony / stigmergy: coordination through traces left in the environment
A01,B01,C09,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || SMEs answer many differently-worded sustainability requests from banks/customers || Clinical triage: route cases by urgency with a short standard question set
A01,B01,C10,1,2,2,Agents that can pay per request (x402 / stablecoin micropayments) || SMEs answer many differently-worded sustainability requests from banks/customers || Futures market: sell next season's output today to lock a price
A01,B01,C11,2,3,6,"Agents that can pay per request (x402 / stablecoin micropayments) || SMEs answer many differently-worded sustainability requests from banks/customers || Container shipping standard (TEU): one box fits every ship, truck, crane"
A01,B01,C12,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || SMEs answer many differently-worded sustainability requests from banks/customers || Speedrun/leaderboard gaming: public live competition drives behaviour
A01,B01,C13,2,2,4,Agents that can pay per request (x402 / stablecoin micropayments) || SMEs answer many differently-worded sustainability requests from banks/customers || Tontine / rotating savings club (ROSCA): members fund each other in turn
A01,B01,C14,2,2,4,Agents that can pay per request (x402 / stablecoin micropayments) || SMEs answer many differently-worded sustainability requests from banks/customers || Prediction market: price aggregates dispersed knowledge into a probability
A01,B01,C15,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || SMEs answer many differently-worded sustainability requests from banks/customers || Pharmacovigilance: tiny signals from many reports detect rare problems early
A01,B02,C01,4,3,12,Agents that can pay per request (x402 / stablecoin micropayments) || Energy cost is a major barrier for ~50% of EU firms; SMEs under-invest in efficiency || Airline yield management: price changes by demand minute to minute
A01,B02,C02,1,3,3,"Agents that can pay per request (x402 / stablecoin micropayments) || Energy cost is a major barrier for ~50% of EU firms; SMEs under-invest in efficiency || Chess/Elo rating: ranking from pairwise outcomes, no absolute measure needed"
A01,B02,C03,2,3,6,Agents that can pay per request (x402 / stablecoin micropayments) || Energy cost is a major barrier for ~50% of EU firms; SMEs under-invest in efficiency || Blood-bank / organ matching: time-critical allocation of scarce perishable supply
A01,B02,C04,2,2,4,Agents that can pay per request (x402 / stablecoin micropayments) || Energy cost is a major barrier for ~50% of EU firms; SMEs under-invest in efficiency || Reinsurance: pooling many small risks and selling slices to big capital
A01,B02,C05,2,3,6,Agents that can pay per request (x402 / stablecoin micropayments) || Energy cost is a major barrier for ~50% of EU firms; SMEs under-invest in efficiency || Air-traffic control: live deconfliction of many actors in shared space
A01,B02,C06,3,3,9,Agents that can pay per request (x402 / stablecoin micropayments) || Energy cost is a major barrier for ~50% of EU firms; SMEs under-invest in efficiency || Spotify royalties: tiny usage events settled into automatic payouts
A01,B02,C07,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || Energy cost is a major barrier for ~50% of EU firms; SMEs under-invest in efficiency || Carfax-style history report built from many third-party events
A01,B02,C08,2,3,6,Agents that can pay per request (x402 / stablecoin micropayments) || Energy cost is a major barrier for ~50% of EU firms; SMEs under-invest in efficiency || Ant colony / stigmergy: coordination through traces left in the environment
A01,B02,C09,1,3,3,Agents that can pay per request (x402 / stablecoin micropayments) || Energy cost is a major barrier for ~50% of EU firms; SMEs under-invest in efficiency || Clinical triage: route cases by urgency with a short standard question set
A01,B02,C10,3,2,6,Agents that can pay per request (x402 / stablecoin micropayments) || Energy cost is a major barrier for ~50% of EU firms; SMEs under-invest in efficiency || Futures market: sell next season's output today to lock a price
A01,B02,C11,1,3,3,"Agents that can pay per request (x402 / stablecoin micropayments) || Energy cost is a major barrier for ~50% of EU firms; SMEs under-invest in efficiency || Container shipping standard (TEU): one box fits every ship, truck, crane"
A01,B02,C12,2,3,6,Agents that can pay per request (x402 / stablecoin micropayments) || Energy cost is a major barrier for ~50% of EU firms; SMEs under-invest in efficiency || Speedrun/leaderboard gaming: public live competition drives behaviour
